time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.612322,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.612324,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.612326,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.612327,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.612329,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.613008,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.613224,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.613227,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.61323,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.61337,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.614589,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.614591,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.614592,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.614594,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.614596,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.61468,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.614682,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615006,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.61517,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.615304,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615306,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615307,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615308,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.615309,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.61531,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615442,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.615532,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.615815,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615821,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615883,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615885,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615953,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.615963,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.615964,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.616011,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.616034,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.616238,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.61624,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.616242,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.616369,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.620106,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620116,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620252,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620256,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.62026,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620296,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620398,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620403,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.620651,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
